"product_id,""user_id"",""order_dow"",""order_hour_of_day"""
196,1,1,9
12427,1,1,9
48110,2,2,11
22474,2,2,11
16589,2,2,11
8479,2,5,10
8138,2,5,10
32139,2,2,10
21150,2,2,10
5322,2,3,11
38656,2,3,11
21376,2,3,11
27344,2,2,9
36735,2,2,9
21376,2,2,9
2002,2,2,9
13742,2,2,9
22474,2,1,10
8296,2,1,10
2002,2,1,10
21227,2,1,10
27413,2,3,10
2573,2,3,10
24768,2,3,10
24810,3,1,14
248,3,3,19
24010,3,2,18
1819,3,0,16
24810,3,0,16
1819,3,0,15
18599,3,3,16
24810,3,1,15
42329,4,4,11
7160,4,4,11
25146,4,5,13
18761,5,0,16
13870,5,0,16
20323,6,4,16
49401,6,2,18
14267,7,0,18
37602,7,0,18
29871,7,0,18
22963,7,0,18
31683,7,0,18
9598,7,0,18
13198,7,0,18
43967,7,0,18
14332,7,2,10
13198,7,2,10
42803,7,1,18
37602,7,2,12
31683,7,2,12
43967,7,2,12
42803,7,2,12
17638,7,0,15
13198,7,0,10
42803,7,0,10
37602,7,0,10
17638,7,0,10
27344,7,0,10
37999,7,3,12
12196,7,3,12
23400,8,6,0
6141,8,6,0
34190,8,6,0
26790,9,1,17
27690,9,1,17
311,9,1,17
23592,9,1,17
8834,9,5,12
24952,9,5,12
41844,9,5,12
47380,10,5,15
15011,10,5,15
30489,10,5,15
32299,10,5,15
34128,10,5,15
47380,10,3,19
28535,10,3,19
38293,10,3,15
28535,10,3,15
31506,10,3,15
13829,10,3,15
9339,10,5,20
19019,10,5,20
13829,10,5,20
27959,11,5,11
35948,11,5,13
95,11,5,13
19769,11,5,13
8230,11,5,11
40055,11,5,11
27959,11,5,9
48697,11,5,9
30563,11,5,9
40377,12,1,12
47672,12,5,8
8239,12,5,8
38164,12,5,8
10863,12,5,8
18761,12,3,9
35345,12,3,9
28342,12,3,9
39667,12,1,9
28134,12,1,9
27435,13,1,12
31372,13,1,12
1689,13,0,13
27435,13,6,18
25134,13,6,18
27435,13,0,14
41351,13,0,14
27435,13,6,13
29509,14,6,8
49481,14,6,8
46454,14,6,8
16776,14,6,8
12232,14,6,8
21689,14,6,8
34827,14,6,8
39545,14,5,8
29509,14,5,8
44212,14,5,8
2927,14,5,8
32428,14,5,8
40286,14,5,8
19750,14,1,8
24970,14,1,8
11418,14,1,8
38342,14,5,9
4489,14,5,9
9076,14,5,9
47117,14,5,9
15172,14,5,9
2138,14,5,9
12232,14,5,9
22179,14,4,21
18439,14,4,21
8512,14,4,21
12429,14,1,5
29509,14,1,5
32211,14,1,5
15869,14,1,5
6518,14,5,9
15869,14,5,9
27862,14,5,9
3384,14,5,9
31701,14,5,9
8928,14,5,9
10441,15,1,11
14715,15,1,11
11266,15,5,11
37059,15,5,11
27839,15,1,10
11266,15,2,16
14715,15,2,16
10441,15,2,16
37710,15,2,16
196,15,2,16
196,15,1,10
5134,16,2,8
31772,16,2,8
48283,16,0,14
47141,17,2,13
17762,17,2,13
42356,17,5,10
6334,17,5,10
27629,17,0,15
32498,17,0,15
9641,17,0,15
15844,17,0,15
47141,17,4,15
43986,17,4,15
36130,17,4,15
7350,17,2,14
47141,17,2,14
17762,17,2,14
7026,17,1,13
17762,17,1,13
31268,17,1,13
36552,17,6,17
17762,17,6,17
38444,17,6,17
25464,17,1,12
17762,17,5,21
29791,17,5,21
47141,17,5,13
17762,17,5,13
17762,17,6,16
19468,17,6,16
40592,17,6,16
18855,17,6,16
7350,17,5,17
45190,17,4,10
2927,17,4,10
5128,17,4,10
25464,17,4,10
1774,17,6,14
7350,17,5,12
26767,17,5,12
7350,17,3,12
38618,17,3,12
7350,17,1,15
9006,17,1,15
40203,17,1,15
44492,17,1,15
9641,17,5,16
36216,18,2,16
36227,19,6,13
11613,19,6,13
26525,19,6,13
39987,19,6,13
31591,19,6,13
24629,19,6,13
2192,19,6,13
13822,19,6,13
15599,19,6,13
30123,19,6,13
23483,19,6,13
24629,19,0,14
35123,19,0,14
45037,19,6,12
48440,19,6,12
35123,19,6,12
196,19,6,12
39290,19,6,12
5183,19,6,12
41302,19,6,12
196,19,4,17
44234,19,4,17
44187,19,4,17
12108,19,4,17
40348,19,4,17
21001,19,4,17
2192,19,4,17
29284,19,4,17
39107,19,4,17
34724,19,4,17
47805,19,5,16
28805,19,5,16
48437,19,5,16
15599,19,5,16
31487,19,5,16
22999,19,5,16
48988,21,1,13
11352,21,1,13
46842,21,1,14
31387,21,1,14
44375,21,1,14
44375,21,5,9
35221,21,3,10
48988,21,1,9
44632,21,1,11
48988,21,1,11
18721,21,1,11
42536,21,1,11
13588,21,2,15
15902,21,2,11
48988,21,1,10
14788,21,1,10
7963,21,1,9
48988,21,3,9
48988,21,1,11
24186,21,1,11
33127,21,1,9
45636,21,1,9
48559,21,1,9
36574,21,2,9
33894,21,2,9
36076,21,1,11
48988,21,3,15
33894,21,3,15
3023,21,3,15
14788,21,1,13
22963,22,3,7
36724,22,3,7
22115,22,5,9
49533,22,5,15
32096,22,0,8
31268,23,5,14
3919,23,0,10
48871,23,3,11
8524,23,3,11
2138,23,3,11
31222,24,3,21
23423,24,3,21
42447,24,5,16
35652,24,6,8
32607,26,5,10
7521,26,5,9
21709,26,5,9
31615,26,1,13
19894,26,3,9
44632,26,3,9
7355,26,3,9
17874,26,3,9
32229,26,3,9
36316,26,3,9
31615,26,4,17
